	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1	2043.7894434869813	-0.40459081793512597	0.20993201357940253	-1.9272468788191646	0.05394887028176669	0.15153049502505153
g10	99.91525782795743	1.041433571455292	0.26918636945841984	3.868819857225937	0.00010936340214173212	0.0013807586725252132
g100	191.09522696221327	-0.13880027477557205	0.23802246339059455	-0.5831393928051277	0.5597994669620815	0.7260755224938642
g1000	165.82274454661408	0.23759104663084316	0.22892713843801038	1.0378457017020672	0.29934189602246486	0.48707571443310554
g1001	256.17488751412935	0.01838399783880328	0.19966416865669734	0.09207459687177388	0.9266387714591549	0.9620960233338839
g1002	1452.6156065970674	-0.25482824412765004	0.11137452247446437	-2.288029959330028	0.02213577648784301	0.0798511938063042
g1003	2253.595819211711	-0.0869451775621859	0.09576451487782477	-0.9079059991387156	0.36392788778771257	0.5546337409764291
g1004	1494.09375675048	0.1880064946844107	0.10959268513634748	1.7155022203398544	0.08625318866252868	0.20726020827564975
g1005	434.73604950529216	0.5703996149820204	0.18454980227655418	3.0907625364304483	0.0019964322577883946	0.013410198884610659
g1006	4513.014957157496	-0.06110165703616988	0.09498337789141025	-0.643287893025076	0.5200373107134497	0.6931994519573702
g1007	2161.162291500595	0.14810901147368147	0.1469084187508967	1.00817238884601	0.3133717107091747	0.5008375139403618
g1008	1202.3801923441667	-0.6450508454268363	0.10211604093418519	-6.316841502331431	2.6696312882120524e-10	2.3436879332559298e-08
g1009	2163.6414155917278	-0.5416369746610972	0.10447256566206915	-5.184490025956634	2.1660673642201606e-07	7.714060660312366e-06
g101	2565.0850297250768	-0.1953578705380027	0.10613151436925995	-1.8407150006198947	0.0656633345145228	0.17309992164268406
g1010	221.06615484138368	0.7187682939842835	0.2965577390128638	2.423704390169718	0.015363105370730016	0.06169757741968703
g1011	1708.6033213409999	-0.15693082707257663	0.1251403463857187	-1.2540386182795953	0.2098279690586936	0.387714431324801
g1012	421.4612615469145	0.4650178018466006	0.15654216506314447	2.970559412277364	0.0029725790138474062	0.018276035467872896
g1013	946.4775246899475	-0.2498075754366553	0.11399515118900189	-2.191387728610306	0.028423746366637255	0.09487147880995193
g1014	203.5204108712106	-0.03130294879236339	0.23108740003348205	-0.1354593490940135	0.8922487026837189	0.9448075322948216
