	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1	2568.341726805034	1260.601720770183	1455.6161426255876	2328.9893532525034	2223.5495921061283	2425.6381253624504
g10	138.93656945622286	111.08750796059083	153.3559427035998	69.49243594530061	57.51976032794863	69.09933057408193
g100	192.5263891036231	130.4070745624327	218.6460965279047	232.30328587429065	179.1329678784686	193.55554782656003
g1000	158.78465080711183	157.7764605817087	215.60934518723934	174.7238389481844	147.90795512901076	140.13421662642946
g1001	208.40485418433428	247.93443805697083	310.7608871947534	246.20177306335077	277.7382712978091	246.00910128755783
g1002	1313.9429854288505	1337.8799871775504	1319.9745827425356	1745.2528913119784	1428.1334778567818	1570.5097150647082
g1003	2226.9547275697437	2297.4184617356973	2037.660149586445	2342.8878404415636	2327.085160696436	2289.568575240379
g1004	1589.8313162062072	1725.881283097875	1459.6651444131414	1455.3701585115816	1380.4742478707672	1353.3403904033078
g1005	391.0072026125129	632.7158062103217	534.4682359571003	345.47668155663735	341.83171852038043	362.91665217480005
g1006	4191.9147813077525	4845.991289295339	4217.035361737273	4576.573281540512	4645.953212774593	4600.621816289506
g1007	1768.464048364208	2337.667558822868	2699.6719418514895	2112.5700527371387	2032.9126721620703	2015.6874750657962
g1008	966.6015617882933	914.4594858205159	931.2704111373718	1489.123627399299	1493.8703468030087	1418.9557211165118
g1009	1871.674071388831	1832.1388994080053	1592.269952955528	2634.7560714118263	2488.1404896146923	2562.8690087714813
g101	2645.749244073501	2374.696728143065	2163.1792050006125	2807.494412190145	2682.064253006062	2717.3263359370762
g1010	190.54158096853422	207.68534096980025	424.13293724625953	168.7673444385872	147.90795512901076	187.3617702961101
g1011	1891.5221527397198	1474.7269172739304	1484.9714055853526	1842.5423016353993	1840.6323304943562	1717.2248203172408
g1012	547.8070452845359	426.6404291240083	492.965967634674	379.2301504443548	322.11065783651236	360.0133189574017
g1013	905.0725096005375	898.3598469856476	796.6411017012082	1044.372037349375	1010.7043600482402	1023.715292454676
g1014	246.11620875102335	173.87609941657695	185.2418317805859	168.7673444385872	258.017210613941	189.10377022654916
g1015	337.41738296511267	489.4290205799944	603.3012663455147	254.14376574281368	308.96328404726694	289.1719884528807
g1016	232.22255180540108	331.65255999828565	220.67059742168158	164.79634809885576	161.05532891825618	158.13488257429955
g1017	535.8981964740025	656.865264462624	588.117509642188	476.51956076777566	634.3607853310906	532.4713120708667
g1018	3243.176492735259	4351.7323770648845	3562.109322600447	3373.3613906018786	3482.4106324263757	3624.7147441479897
g1019	3157.8297429264367	3308.4757805654226	3895.1397196267462	2475.916217822568	2202.1851096986047	2291.697686266471
g102	158.78465080711183	160.99638834868236	152.34369225671136	162.81084992899002	134.76058133976537	146.32799415687938
g1020	226.26812740013438	315.5529211634174	234.84210367811983	148.9123627399299	147.90795512901076	183.29710379175236
g1021	317.56930161422366	326.8226683478252	393.7654238396061	448.7225863896554	399.35147884832907	425.8222052184321
g1022	3894.193561044418	4073.2086252216636	3655.2363637141843	5047.136347798691	5258.94951569816	5130.770461786454
g1023	315.5844934791348	228.61487145512896	352.76928074062397	232.30328587429065	308.96328404726694	260.1386562788967
g1024	27052.93488126168	27124.671508986004	36530.60025253374	30376.136500775832	29957.934600519304	30524.09700334417
g1025	303.6756446686014	304.2831739790097	241.42173158289475	202.52081332630465	210.35798062792642	170.13532653954627
g1026	6442.687206498563	6724.819141324462	5589.6469677180075	8855.321837601165	8614.81667540305	8653.674987777673
g1027	2756.8984996384793	2608.1414912486543	5402.886760267089	2803.5234158504136	2882.561703292054	2986.755658511648
g1028	246.11620875102335	325.2127044643384	233.32372800778717	192.593322476976	233.36588475910588	173.03865975694467
g1029	3396.0067191371045	3474.3020605645656	3069.6494801892172	4233.082098153741	4251.531999097232	4122.152502062249
g103	319.5541097493126	433.0802846579556	344.16515194207216	409.01262299234077	354.97909230962586	390.4015399661716
g1030	714.5309286320033	619.8360951424271	941.8990408297004	663.1563887351545	634.3607853310906	657.1210848711713
g1031	430.70336531429086	539.3379009680859	525.3579819351042	450.7080845595211	539.0423253590615	528.0195344708558
g1032	454.52106293535763	577.9770341717697	668.0852949463754	538.0700040336134	525.894951569816	487.1793138794516
g1033	150.84541826675624	254.37429359091814	211.56034339968554	152.88335907966135	144.6211116816994	125.61755053943746
g1034	2431.3899654839	3000.9726788194394	2643.998167272625	3285.9994711277864	3579.3725141220607	3436.7723072084
g1035	2193.2129892732323	2421.385680764183	2089.2849223777557	3218.4925333523515	3280.2697604167274	3293.541201816746
g1036	575.5943591757805	643.9855533947294	746.0285793567858	915.3146563081024	938.3938042073905	949.7770731849301
g1037	10003.433000848047	8893.440492381214	8447.229979284095	8474.106188986943	8627.964049192295	8369.728999116109
g1038	1204.7785379989612	1505.3162310601801	1373.6238564276234	865.6772020614592	820.0674401041819	821.6433005237474
g1039	129.01252878077838	194.80562990190566	182.20508043992055	140.97037006046696	159.4119071946005	128.52088375683587
g104	813.7713353864482	1067.406054751764	858.3883789614035	935.1696380067598	971.2622386805041	909.1304081413525
g1040	2927.5919992561244	3343.8949860021326	2957.795805808044	2984.2037493081953	2598.2497450996225	2629.2585616759916
g1041	1317.9126016990283	930.559124655384	969.7359281191327	1530.8190889664793	1276.9386792804596	1349.27572389895
g1042	575.5943591757805	740.5833864039389	722.7468190783516	865.6772020614592	749.4003059869879	762.9959695322997
g1043	230.23774367031217	280.1337157267073	432.23094082136714	303.781219989457	351.6922488623145	284.1395442093901
g1044	918.9661665461598	666.525047763545	779.4328441041047	1022.5315574808519	765.8345232235446	852.0315215325173
g1045	339.40219110020155	286.5735712606546	303.67513406653427	240.24527855375356	272.8080061268421	270.97776695718403
g1046	2185.273756732877	2157.3516038723437	1962.7536165166998	2356.786327630624	2327.085160696436	2315.6985741969643
g1047	585.5183998512249	495.86887611394167	491.9537171877855	452.6935827293869	448.65413055799934	417.69287220971654
g1049	109.16444742988939	119.13732737802495	138.67831122371732	188.62232613724453	164.3421723655675	158.3284381221261
g105	1603.7249731518295	1452.187422905115	1593.7883286258607	958.9956160451485	912.0990566288997	997.1981824024373
g1050	506.126074447669	391.22122368729816	522.3212305944389	530.1280113541504	542.3291688063728	459.307314992427
g1051	79.39232540355592	38.63913320368377	94.13929156062562	47.651956076777566	52.589495156981606	42.195109426190086
g1052	2889.8806446894355	3390.5839386232506	3277.6669470247934	3438.8828302074476	3553.07776654357	3490.967860599837
g1053	490.2476093669578	433.0802846579556	397.8144256271599	391.1431394635492	381.27383988811664	404.5310949575105
g1054	595.4424405266694	616.6161673754534	586.0930087484112	512.2585278253589	543.9725905300285	500.7282022273108
g1055	3128.0576209001033	4300.213532793306	3565.1460739411123	3814.141984312071	3783.156807855364	3674.0714088437626
g1056	392.9920107476018	365.461801551509	340.1161501545184	379.2301504443548	373.0567312698383	380.91731812267017
g1057	420.7793246388464	371.9016570854563	332.0181465794108	353.4186742361003	272.8080061268421	299.4304324876884
g1058	627.1993706880918	511.9685149488099	523.3334810413274	665.1418869050202	611.3528811999112	667.5730844538056
g1059	498.1868419073134	405.71089863867957	428.1819390338133	536.0845058637476	494.66993882035825	510.79309071429196
g106	841.5586492776928	1070.6259825187378	2298.8207648836647	760.4457990585753	718.17529323753	698.5419721060551
g1060	1073.781201083094	856.5007860149902	886.73139147428	1097.9804879357498	1053.4333248632877	1119.3317330809966
g1061	1117.4469800550496	965.9783300920942	883.6946401336147	1088.052997086421	1193.12417137402	1191.9150635159567
g1062	871.3307713040263	800.1520500929514	873.5721356647302	883.5466855902507	910.4556349052441	806.5459677932757
g1063	188.5567728334453	252.7643297074313	273.30762065988085	164.79634809885576	188.99349822040264	162.39310462648388
g1064	1014.2369570304269	854.8908221315033	1008.2014451008938	812.0687514750844	894.0214176686873	799.384412523693
g1065	95.27079048426711	75.66830252388071	131.5925580954982	63.53594143570342	70.66713411719404	77.61577467845058
g1066	1405.2441596429398	1175.2736349453812	1067.9242214673122	1312.414290281249	1179.9767975847749	1255.594838750895
g1067	1506.4693745324737	1175.2736349453812	1462.7018957538066	1453.3846603417157	1500.4440336976315	1495.9908291514826
g1068	2582.235383750656	2596.8717440642467	2383.849802422294	2928.609800551955	2898.995920528611	2859.202552493945
g1069	601.3968649319361	660.0851922295977	602.2890158986263	599.620447299451	563.6936512138966	596.7317539492846
g107	3405.9307598125492	3322.965455516804	2909.2077843573984	3073.551166952153	2823.39852124045	2831.524109154747
g1070	597.4272486617583	653.6453366956504	593.1787618766302	591.6784546199881	562.0502294902409	591.699309705794
g1071	113.13406370006719	175.4860633000638	204.98071549491064	160.8253517591243	159.4119071946005	175.55488187868997
g1072	1323.867026104295	1131.804610091237	1165.1002643686031	1189.3134037495734	1204.62812343961	1188.6246192029053
g1073	730.4093937127145	816.2516889278196	824.9841142140848	631.3884180173028	596.56208568701	586.2797543666503
g1074	865.3763468987595	832.3513277626878	711.6120641625787	867.6627002313248	964.6885517858814	909.5175192370057
g1075	89.31636607900042	93.37790524223577	253.5687369455561	125.0863847015411	41.08554309139188	81.8739967306349
g1076	160.76945894220074	207.68534096980025	321.3895168870821	230.31778770442492	193.92376339136968	211.36265822660357
g1077	1280.2012471323392	1249.3319735857751	1579.6168223694224	885.5321837601165	1104.3793982966138	928.8730740196617
g1078	2199.167413678499	2244.289653580632	2515.442360517792	2789.6249286613534	2529.226032706084	2745.3918903719277
