	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Expression
g10	99.91525782795743	1.041433571455292	0.26918636945841984	3.868819857225937	0.00010936340214173212	0.0013807586725252132	UP
g108	103.69768273192959	1.0368084285069628	0.312825799079173	3.3143315914444673	0.0009186249773225586	0.007378317637005657	UP
g1085	481.97683684739894	1.1614709163806118	0.22696827300305095	5.117327197378812	3.0989576002569624e-07	1.0635059037245486e-05	UP
g1139	71.94016150361827	1.163406793539858	0.340929876076763	3.4124518711229284	0.0006438129453807496	0.0054862164081542425	UP
g1144	192.49242941077753	1.4966726623583666	0.32117893454557905	4.659934078416252	3.163106703435895e-06	7.462954878419065e-05	UP
g1194	112.88945027277474	1.1263371279461027	0.25694041609312407	4.383651062267601	1.1670665501324865e-05	0.00022416465149117465	UP
g13	167.72722218192894	1.0177330758142296	0.27330824502161455	3.7237554825092904	0.00019628103780363877	0.0021665523909612174	UP
g1301	143.53634256113713	1.4793670740073614	0.35488641288974193	4.168564983824781	3.065233733604264e-05	0.0005052950805395676	UP
g1371	81.07935483732531	1.0199606666564203	0.2908004952160245	3.50742410496492	0.00045246740002215935	0.0041073101618828425	UP
g1393	237.83029651903567	1.102278946150003	0.19473853474283478	5.660302146186095	1.5110671186995278e-08	8.034194891677067e-07	UP
g1502	143.81015147048734	1.029960843338466	0.23662449974961758	4.352722750299784	1.3445714492695268e-05	0.0002500373015267223	UP
g1584	113.11207502592053	1.429730852900286	0.5020359078100194	2.8478657216712975	0.004401349086005234	0.02454223456376626	UP
g1610	142.3571178486135	1.2514424939005924	0.43646898797059275	2.8671968189980745	0.0041412537942010046	0.02357953706351251	UP
g1623	30.372419470490176	2.0763127108876818	0.6837136891269802	3.0368160589835234	0.002390913072411587	0.015295254100339266	UP
g1628	40.924331323669215	2.6438293187885304	0.738360760725804	3.5806741899307633	0.00034270878124761277	0.003351620852874969	UP
g163	531.7102078531924	1.1120690219556097	0.21484939510780518	5.1760398087116135	2.2664511809863766e-07	7.922086303910714e-06	UP
g1652	140.96170370926347	1.022606104333492	0.26516933169623635	3.8564267511332506	0.00011505655367762972	0.0014327616663692734	UP
g1665	299.08005330785164	1.072286087229726	0.2502692768720353	4.284529450164969	1.8312635152832076e-05	0.00033043735595536864	UP
g1747	195.02761031579973	1.007107989995901	0.3452426468235802	2.91710192602751	0.0035330030023103197	0.020709761387766236	UP
g1748	76.83694956663696	1.5224846823868037	0.5754914037028243	2.645538530360036	0.008156099780652877	0.03887534933328865	UP
g1758	179.5317427298355	1.0793230189941836	0.2803790750466057	3.849513444663352	0.00011835268758565502	0.0014561141268986566	UP
g1806	291.4383805569675	1.0767007595971625	0.24570868263015705	4.382021620366678	1.1758313746163801e-05	0.0002241799716755977	UP
g1840	1544.9772255694006	1.3130872501270001	0.14993357466756674	8.757793263039195	1.991099243341412e-18	1.8790999109034577e-15	UP
g1866	3018.983322301652	1.7223218196009538	0.5927394944565019	2.9056977571238023	0.003664352133589919	0.021347113123922755	UP
g1887	268.0153869123226	1.1854471586163384	0.3091431373575877	3.8346222683414273	0.00012575740442433164	0.0015257074719237345	UP
g1902	605.0325025209831	1.144638603009402	0.19871281473560146	5.760265660432659	8.398165115388534e-09	4.80349595615026e-07	UP
g1945	46.3728283518839	1.1509228147854984	0.4162399642405553	2.7650464003027633	0.005691469937545291	0.029391653918240043	UP
g1992	263.1045270374921	1.2006168976453624	0.22094453409163814	5.434019459143529	5.509856827781268e-08	2.4470246499852103e-06	UP
g2045	454.6646672627243	1.4570613391993232	0.17589612275970726	8.28364671340609	1.194596455216611e-16	6.442288026346724e-14	UP
g2069	128.8682901813398	1.1849979232532877	0.2365274329247531	5.009980908346785	5.443543537189809e-07	1.712448071074294e-05	UP
g2093	347.9251482212867	1.0543020459626256	0.2940369675488737	3.5856105262933764	0.0003362905357315331	0.0033059811780899407	UP
g2220	47314.93898470871	1.5517855320876384	0.5326520121639529	2.913319571972238	0.0035760842632805534	0.020929795494393937	UP
g2221	11988.057652659088	1.427904052839221	0.4639048108409843	3.0780108752281796	0.002083873100673896	0.013801089394813958	UP
g2222	283.18890381842704	1.0277213963473164	0.3161848502152874	3.2503815272855423	0.0011525027699293689	0.008796745114274277	UP
g2224	104.11176047304525	1.2645436924990785	0.3324849090846698	3.8033115427114095	0.00014277461706255532	0.001679047287885191	UP
g2252	106.36227005272885	1.725804891709679	0.41164502503263334	4.192459004145295	2.7594696024052284e-05	0.0004609291039415813	UP
g2263	173.1645695511255	1.2692295630720423	0.2554548599387727	4.9685081872243515	6.746995211579486e-07	2.005504482182091e-05	UP
g2286	92.97918066709201	1.1624664031027165	0.3067379220397386	3.7897707442645983	0.00015078638384190428	0.0017622866842203985	UP
g2342	923.4938164685819	1.2107304030143426	0.24206839248036843	5.0016046729955965	5.685508387201147e-07	1.773784641461515e-05	UP
g2345	9100.131547484993	-1.091431874588306	0.1831486434190565	-5.959268134413838	2.5337007681637165e-09	1.6780211227750932e-07	DOWN
g2372	102.13800773860386	1.6402645664456268	0.4526095428606435	3.624016754217348	0.0002900628029414227	0.0029418298111998555	UP
g2570	347.32483433375234	1.081009340985003	0.17910905472297955	6.035481247204139	1.584896351878586e-09	1.0878152233348477e-07	UP
g2572	624.4921537776285	1.0454019961328873	0.1415355281924096	7.386145439834173	1.5114646079584395e-13	3.356340526495947e-11	UP
g2757	104.68515984258795	1.018232597585865	0.2861022255930644	3.5589817432393596	0.0003722954071366346	0.0035944121788767155	UP
g2813	149.4960903689208	1.1578686817141743	0.3404969671789581	3.4005256825257497	0.0006725641763021674	0.005718310282749283	UP
g2815	75.44943978972974	1.1406208869508219	0.3425247809475445	3.330039023148812	0.000868338135288808	0.00707986276612365	UP
g2864	370.5654905649258	1.0666650487700438	0.16765909978320886	6.362106501521791	1.9900537089786348e-10	1.8323055491205724e-08	UP
g2970	59.99444192818803	1.2033710337564951	0.3572751739405262	3.3681910234177486	0.0007566315236669966	0.006289739293530957	UP
g2973	20.213874202157104	1.8511229813786902	0.6943639237523472	2.6659262067867946	0.007677654347360025	0.037157878411902684	UP
g3017	184.32019750101765	1.095441391480289	0.2717846546964727	4.030549085648969	5.5646706202577464e-05	0.0008205715465419138	UP
